human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
apurva,adam,mnist,mlp,20,false,false,false,true,0,25,5,cuda,4,0.959689999999999,0,0.001953125
apurva,sgd,mnist,mlp,20,false,false,false,true,0,25,5,cuda,4,0.9615500000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,20,false,false,false,true,0,25,5,cuda,4,0.9571200000000001,0,0.001953125
apurva,adam,mnist,mlp,20,layer,false,false,false,0,25,5,cuda,4,0.9469500000000001,0,0.001953125
apurva,sgd,mnist,mlp,20,layer,false,false,false,0,25,5,cuda,4,-0.38216000000000006,0,0.001953125
apurva,sgdmom,mnist,mlp,20,layer,false,false,false,0,25,5,cuda,4,0.39795,0,0.001953125
apurva,adam,mnist,mlp,20,layer,false,false,true,0,25,5,cuda,4,0.9494299999999991,0,0.001953125
apurva,sgd,mnist,mlp,20,layer,false,false,true,0,25,5,cuda,4,0.958639999999999,0,0.001953125
apurva,sgdmom,mnist,mlp,20,layer,false,false,true,0,25,5,cuda,4,0.9599400000000001,0,0.001953125
apurva,adam,mnist,mlp,20,batch,false,false,false,0,25,5,cuda,4,0.86133,0,0.001953125
apurva,sgd,mnist,mlp,20,batch,false,false,false,0,25,5,cuda,4,0.871889999999999,0,0.001953125
apurva,sgdmom,mnist,mlp,20,batch,false,false,false,0,25,5,cuda,4,0.8814700000000001,0,0.001953125
apurva,adam,mnist,mlp,20,batch,false,false,true,0,25,5,cuda,4,0.94413,0,0.001953125
apurva,sgd,mnist,mlp,20,batch,false,false,true,0,25,5,cuda,4,0.9541000000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,20,batch,false,false,true,0,25,5,cuda,4,0.9532400000000001,0,0.001953125
apurva,adam,mnist,mlp,20,false,false,wdecay,true,0,25,5,cuda,4,0.9541600000000001,0,0.001953125
apurva,sgd,mnist,mlp,20,false,false,wdecay,true,0,25,5,cuda,4,0.411379999999999,0,0.001953125
apurva,sgdmom,mnist,mlp,20,false,false,wdecay,true,0,25,5,cuda,4,0.9598700000000001,0,0.001953125
apurva,adam,mnist,mlp,20,layer,false,wdecay,true,0,25,5,cuda,4,0.95845,0,0.001953125
apurva,sgd,mnist,mlp,20,layer,false,wdecay,true,0,25,5,cuda,4,0.9622200000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,20,layer,false,wdecay,true,0,25,5,cuda,4,0.9568000000000001,0,0.001953125
apurva,adam,mnist,mlp,20,batch,false,wdecay,true,0,25,5,cuda,4,0.9557,0,0.001953125
apurva,sgd,mnist,mlp,20,batch,false,wdecay,true,0,25,5,cuda,4,0.9548800000000001,0,0.001953125
apurva,sgdmom,mnist,mlp,20,batch,false,wdecay,true,0,25,5,cuda,4,0.95398,0,0.001953125
