human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
nischal,sgdmom,svhn,mlp,2,batch,false,false,true,0,10,5,cuda,6,0.6501959127228021,0,0.001953125
nischal,adam,svhn,mlp,2,false,false,wdecay,false,0,10,5,cuda,6,0.25687231100184305,0,0.001953125
nischal,sgd,svhn,mlp,2,false,false,wdecay,false,0,10,5,cuda,6,-0.017874154886293,0,0.001953125
nischal,sgdmom,svhn,mlp,2,false,false,wdecay,false,0,10,5,cuda,6,0.33547172710510104,0,0.001953125
nischal,adam,svhn,mlp,2,false,false,wdecay,true,0,10,5,cuda,6,0.29153349723417304,0,0.001953125
nischal,sgd,svhn,mlp,2,false,false,wdecay,true,0,10,5,cuda,6,-0.06210433312845701,0,0.001953125
nischal,sgdmom,svhn,mlp,2,false,false,wdecay,true,0,10,5,cuda,6,0.342920251997541,0,0.001953125
nischal,adam,svhn,mlp,2,layer,false,wdecay,false,0,10,5,cuda,6,0.73134987707437,0,0.001953125
nischal,sgd,svhn,mlp,2,layer,false,wdecay,false,0,10,5,cuda,6,0.697433927473878,0,0.001953125
nischal,sgdmom,svhn,mlp,2,layer,false,wdecay,false,0,10,5,cuda,6,0.716356791641057,0,0.001953125
nischal,adam,svhn,mlp,2,layer,false,wdecay,true,0,10,5,cuda,6,0.7246004917025191,0,0.001953125
nischal,sgd,svhn,mlp,2,layer,false,wdecay,true,0,10,5,cuda,6,0.696231561155501,0,0.001953125
nischal,sgdmom,svhn,mlp,2,layer,false,wdecay,true,0,10,5,cuda,6,0.718369698832206,0,0.001953125
nischal,adam,svhn,mlp,2,batch,false,wdecay,false,0,10,5,cuda,6,0.6780923478795331,0,0.001953125
nischal,sgd,svhn,mlp,2,batch,false,wdecay,false,0,10,5,cuda,6,0.509868623232944,0,0.001953125
nischal,sgdmom,svhn,mlp,2,batch,false,wdecay,false,0,10,5,cuda,6,0.671316072526121,0,0.001953125
nischal,adam,svhn,mlp,2,batch,false,wdecay,true,0,10,5,cuda,6,0.6595920405654581,0,0.001953125
nischal,sgd,svhn,mlp,2,batch,false,wdecay,true,0,10,5,cuda,6,0.5634104179471421,0,0.001953125
nischal,sgdmom,svhn,mlp,2,batch,false,wdecay,true,0,10,5,cuda,6,0.65293869084204,0,0.001953125
nischal,adam,svhn,mlp,6,false,false,false,false,0,10,5,cuda,6,0.41231177012907105,0,0.001953125
nischal,sgd,svhn,mlp,6,false,false,false,false,0,10,5,cuda,6,0.12253380454824801,0,0.001953125
nischal,sgdmom,svhn,mlp,6,false,false,false,false,0,10,5,cuda,6,0.40001152427781206,0,0.001953125
nischal,adam,svhn,mlp,6,false,false,false,true,0,10,5,cuda,6,0.30920405654578903,0,0.001953125
nischal,sgd,svhn,mlp,6,false,false,false,true,0,10,5,cuda,6,-0.028680086047940003,0,0.001953125
nischal,sgdmom,svhn,mlp,6,false,false,false,true,0,10,5,cuda,6,0.32154271665642203,0,0.001953125
nischal,adam,svhn,mlp,6,layer,false,false,false,0,10,5,cuda,6,0.6538759987707431,0,0.001953125
nischal,sgd,svhn,mlp,6,layer,false,false,false,0,10,5,cuda,6,0.6124769514443761,0,0.001953125
nischal,sgdmom,svhn,mlp,6,layer,false,false,false,0,10,5,cuda,6,0.6647664413030111,0,0.001953125
nischal,adam,svhn,mlp,6,layer,false,false,true,0,10,5,cuda,6,0.6779847879532881,0,0.001953125
nischal,sgd,svhn,mlp,6,layer,false,false,true,0,10,5,cuda,6,0.640454056545789,0,0.001953125
nischal,sgdmom,svhn,mlp,6,layer,false,false,true,0,10,5,cuda,6,0.6811693300553161,0,0.001953125
nischal,adam,svhn,mlp,6,batch,false,false,false,0,10,5,cuda,6,0.578265212046711,0,0.001953125
nischal,sgd,svhn,mlp,6,batch,false,false,false,0,10,5,cuda,6,0.49545175169022704,0,0.001953125
nischal,sgdmom,svhn,mlp,6,batch,false,false,false,0,10,5,cuda,6,0.578372771972956,0,0.001953125
nischal,adam,svhn,mlp,6,batch,false,false,true,0,10,5,cuda,6,0.642655193607867,0,0.001953125
nischal,sgd,svhn,mlp,6,batch,false,false,true,0,10,5,cuda,6,0.5291141671788561,0,0.001953125
nischal,sgdmom,svhn,mlp,6,batch,false,false,true,0,10,5,cuda,6,0.639793331284572,0,0.001953125
nischal,adam,svhn,mlp,6,false,false,wdecay,false,0,10,5,cuda,6,0.37697065150583803,0,0.001953125
nischal,sgd,svhn,mlp,6,false,false,wdecay,false,0,10,5,cuda,6,0.10095267363245201,0,0.001953125
nischal,sgdmom,svhn,mlp,6,false,false,wdecay,false,0,10,5,cuda,6,0.37140442532267903,0,0.001953125
nischal,adam,svhn,mlp,6,false,false,wdecay,true,0,10,5,cuda,6,0.38705055316533404,0,0.001953125
nischal,sgd,svhn,mlp,6,false,false,wdecay,true,0,10,5,cuda,6,0.021435156730178002,0,0.001953125
nischal,sgdmom,svhn,mlp,6,false,false,wdecay,true,0,10,5,cuda,6,0.393830669944683,0,0.001953125
nischal,adam,svhn,mlp,6,layer,false,wdecay,false,0,10,5,cuda,6,0.6590388752304851,0,0.001953125
nischal,sgd,svhn,mlp,6,layer,false,wdecay,false,0,10,5,cuda,6,0.628468807621389,0,0.001953125
nischal,sgdmom,svhn,mlp,6,layer,false,wdecay,false,0,10,5,cuda,6,0.6618277504609711,0,0.001953125
nischal,adam,svhn,mlp,6,layer,false,wdecay,true,0,10,5,cuda,6,0.678288260602335,0,0.001953125
nischal,sgd,svhn,mlp,6,layer,false,wdecay,true,0,10,5,cuda,6,0.596166256914566,0,0.001953125
nischal,sgdmom,svhn,mlp,6,layer,false,wdecay,true,0,10,5,cuda,6,0.6754686539643511,0,0.001953125
nischal,adam,svhn,mlp,6,batch,false,wdecay,false,0,10,5,cuda,6,0.580139827904118,0,0.001953125
