human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
oluwasegun,adam,cifar10,mlp,2,false,false,false,false,0,10,5,cuda,4,0.20284000000000002,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,false,false,false,false,0,10,5,cuda,4,0.031189999999999003,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,false,false,false,false,0,10,5,cuda,4,0.100829999999999,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,false,false,false,true,0,10,5,cuda,4,0.17615,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,false,false,false,true,0,10,5,cuda,4,0.036269999999999004,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,false,false,false,true,0,10,5,cuda,4,0.137019999999999,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,layer,false,false,false,0,10,5,cuda,4,0.227829999999999,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,layer,false,false,false,0,10,5,cuda,4,0.14826,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,layer,false,false,false,0,10,5,cuda,4,0.16875,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,layer,false,false,true,0,10,5,cuda,4,0.23445000000000002,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,layer,false,false,true,0,10,5,cuda,4,0.17166,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,layer,false,false,true,0,10,5,cuda,4,0.18034,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,batch,false,false,false,0,10,5,cuda,4,0.25623,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,batch,false,false,false,0,10,5,cuda,4,0.16833,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,batch,false,false,false,0,10,5,cuda,4,0.2162,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,batch,false,false,true,0,10,5,cuda,4,0.24766000000000002,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,batch,false,false,true,0,10,5,cuda,4,0.187809999999999,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,batch,false,false,true,0,10,5,cuda,4,0.21830000000000002,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,0.191249999999999,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,0.08139,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,false,false,wdecay,false,0,10,5,cuda,4,0.10931,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,0.20743,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,-0.0043,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,false,false,wdecay,true,0,10,5,cuda,4,0.12161000000000001,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,0.219279999999999,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,0.15395,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,layer,false,wdecay,false,0,10,5,cuda,4,0.180289999999999,0,0.001953125
oluwasegun,adam,cifar10,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,0.23399000000000003,0,0.001953125
oluwasegun,sgd,cifar10,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,0.140039999999999,0,0.001953125
oluwasegun,sgdmom,cifar10,mlp,2,layer,false,wdecay,true,0,10,5,cuda,4,0.17683000000000001,0,0.001953125
